"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"9917","129","училище Симон Боливар",42.15182,24.79232
"9918","431","ул. Лотос (юг)",42.15372,24.79335
"9919","432","срещу ул. Белица №1",42.1281,24.70235
"9920","365","жк Тракия бл.52",42.13733,24.79123
"9921","420","магазин Билла 4",42.11858,24.73534
"9922","1011","жк Тракия (а-12)",42.133,24.77799
"9923","429","ул. Крайна №1",42.15984,24.78229
"9924","358","бл.330",42.1282,24.7811
"9925","435","ул. Н.Абаджиев",42.11672,24.77969
"9926","436","вход ТКЗС",42.12558,24.68266
"9927","433","след хотел SPS",42.14589,24.784
"9928","363","Поделението преди Метро",42.14521,24.7842
"9929","438","Стадион Марица",42.15665,24.7215
"9930","437","бул. Източен №31",42.14937,24.76312
"9931","398","ул. Герлово (юг)",42.15257,24.78839
"9932","439","бул. Копривщица",42.14032,24.72605
"9933","344","срещу КТВ",42.12842,24.72205
"9934","345","срещу Старчески дом",42.12636,24.7208
"9935","1031","ОКЗ Тракия",42.10944,24.75966
"9936","440","кръстовище Скопие / Горно броди",42.12648,24.7437
"9937","2016","Медицински колеж",42.16352,24.72658
"9939","1034","жк.Тракия бул. Освобождение",42.13905,24.79132
"9940","444","Братя Обрейкови 1",42.16203,24.75433
"9941","445","Братя Обрейкови 2",42.16183,24.75003
"9942","451","В.Априлов 85",42.1506,24.731
"9943","441","Недялка Шилева преди пожарната",42.12085,24.789
"9944","449","сладкарски цех Елена",42.12135,24.78573
"9945","450","срещу сладкарски цех Елена",42.12142,24.78553
"9946","434","срещу пожарната",42.121,24.78906
"9947","213","разклона за ЗХА пос.запад - изток",42.1621,24.76988
"9948","318","Младежка",42.1506,24.72339
"9949","467","срещу Рено",42.169,24.72017
"9950","457","пред входа на АйБи Сейлинг",42.16945,24.7381
"9951","458","Петров комерс",42.16762,24.73654
"9952","459","Химснаб",42.1666,24.73335
"9953","460","пред Юг 1",42.16508,24.72935
"9954","453","Севанс 7",42.1649,24.72913
"9955","454","срещу бензиностанцията",42.16633,24.7332
"9956","455","срещу Петров комерс",42.16743,24.73636
"9957","456","срещу Стъкларски завод",42.1708,24.7398
"9959","452","ресторант Хитър Петър",42.1597,24.73052
"9960","464","Марица Юг 150",42.15445,24.75931
"9961","463","Марица Юг 140",42.15451,24.75537
"9962","447","Срещу Марица Юг 150",42.15451,24.75955
"9963","448","Срещу Марица Юг 140",42.15457,24.75552
"9964","2047","Гараж - Автобусни Превози",42.09573,24.76387
"9965","1017","След бензиностанция Еко",42.16999,24.72037
"9966","473","пред Димитър Маджаров 2 ЕООД",42.17305,24.71465
"9967","474","срещу Димитър Маджаров 2 ЕООД",42.17265,24.71495
"9968","470","Зоологическа градина",42.14452,24.71329
"9969","471","срещу Зоологоческата градина",42.14442,24.71368
"9970","463","Хотел Ландмарк Крийк",42.1356,24.6973
"9971","464","Срещу Хотел Ландмарк Крийк",42.1359,24.69803
"9972","475","ул Остромила 1 юг",42.11737,24.71767
"9973","476","ул Остромила 2 юг",42.11607,24.72186
"9974","477","ул. Остромила",42.11453,24.72784
"9975","478","ул Остромила 3 север",42.11478,24.72766
"9976","479","ул Остромила",42.11641,24.72174
"9977","480","ул Остромила 1 север",42.1176,24.71748
"9978","472","Авторемонтен завод",42.11243,24.75368
"9979","461","пред магазин Кауфланд",42.16722,24.74962
"9980","462","болница св. Иван Рилски",42.16786,24.74757
"9981","468","Срещу Филипополис",42.1252,24.68216
"9982","482","автомивка Микрис",42.12146,24.77921
"9983","483","завод Авионамс",42.12168,24.77941
"9984","484","магазин Вис Виталис",42.15055,24.7759
"9985","485","ул. Тих кът",42.12038,24.68369
"9986","486","ул. Елена",42.12073,24.68758
"9987","487","ул. Елена юг",42.12025,24.6804
"41927","466","Еурофрио",42.12045,24.76726
"41951","10014","VEM_test",42.13873,24.80247
